=>       0    10074 : FD010113     _start:                                       R[ 2] <- ffffffd0
       1    10078 : 02812623     sw       s0,44(sp)                            M[fffffffc] <- 0 (4 bytes)
       2    1007c : 03010413     addi     s0,sp,48                             R[ 8] <- 0
       3    10080 : FE042623     sw       zero,-20(s0)                         M[ffffffec] <- 0 (4 bytes)
       4    10084 : 00C00793     addi     a5,zero,12                           R[15] <- c
       5    10088 : FEF42623     sw       a5,-20(s0)                           M[ffffffec] <- c (4 bytes)
       6    1008c : 00A00793     addi     a5,zero,10                           R[15] <- a
       7    10090 : FEF42423     sw       a5,-24(s0)                           M[ffffffe8] <- a (4 bytes)
       8    10094 : 01400793     addi     a5,zero,20                           R[15] <- 14
       9    10098 : FEF42223     sw       a5,-28(s0)                           M[ffffffe4] <- 14 (4 bytes)
      10    1009c : FE842703     lw       a4,-24(s0)                           R[14] <- a
      11    100a0 : FE442783     lw       a5,-28(s0)                           R[15] <- 14
      12    100a4 : 00F707B3     add      a5,a4,a5                             R[15] <- 1e
      13    100a8 : FEF42623     sw       a5,-20(s0)                           M[ffffffec] <- 1e (4 bytes)
      14    100ac : FE842703     lw       a4,-24(s0)                           R[14] <- a
      15    100b0 : FE442783     lw       a5,-28(s0)                           R[15] <- 14
      16    100b4 : 40F707B3     sub      a5,a4,a5                             R[15] <- fffffff6
      17    100b8 : FEF42623     sw       a5,-20(s0)                           M[ffffffec] <- fffffff6 (4 bytes)
      18    100bc : FE842783     lw       a5,-24(s0)                           R[15] <- a
      19    100c0 : 00279793     slli     a5,a5,2                              R[15] <- 8
      20    100c4 : FEF42623     sw       a5,-20(s0)                           M[ffffffec] <- 8 (4 bytes)
      21    100c8 : FE842783     lw       a5,-24(s0)                           R[15] <- a
      22    100cc : 4027D793     srai     a5,a5,2                              R[15] <- 0
      23    100d0 : FEF42623     sw       a5,-20(s0)                           M[ffffffec] <- 0 (4 bytes)
      24    100d4 : FE842783     lw       a5,-24(s0)                           R[15] <- a
      25    100d8 : 40F007B3     sub      a5,zero,a5                           R[15] <- fffffff6
      26    100dc : 4027D793     srai     a5,a5,2                              R[15] <- 0
      27    100e0 : FEF42623     sw       a5,-20(s0)                           M[ffffffec] <- 0 (4 bytes)
